date;signal;ticker;num;price
2015.12.17;BUY;AAPL;98;108.98
2014.08.29;SELL;AAPL;105;102.5
2013.11.26;SELL;AAPL;138;76.2
2013.03.21;BUY;AAPL;156;64.68
2016.02.03;SELL;AAPL;111;96.35
2014.12.01;BUY;AAPL;95;115.07
2013.12.09;SELL;AAPL;130;80.92
2015.02.04;SELL;AAPL;91;119.56
2016.03.29;BUY;AAPL;101;107.68
2013.12.19;BUY;AAPL;136;77.78
2014.09.09;BUY;AAPL;112;97.99
2013.07.15;SELL;AAPL;165;61.06
2013.06.25;BUY;AAPL;172;57.52
2013.04.11;BUY;AAPL;166;62.05
2014.12.18;SELL;AAPL;96;112.65
2016.12.12;BUY;AAPL;97;113.3
2015.11.13;SELL;AAPL;99;112.34
2014.09.02;SELL;AAPL;105;103.3
2015.04.21;BUY;AAPL;85;126.91
2014.02.25;BUY;AAPL;139;74.58
2013.04.10;BUY;AAPL;166;62.24
2013.11.22;BUY;AAPL;140;74.26
2016.03.31;SELL;AAPL;100;108.99
2015.08.03;SELL;AAPL;91;118.44
2014.07.03;BUY;AAPL;116;94.03
2016.05.25;BUY;AAPL;107;99.62
2013.10.24;BUY;AAPL;137;75.99
2014.11.06;SELL;AAPL;100;108.7
2016.04.04;BUY;AAPL;98;111.12
2015.06.05;BUY;AAPL;84;128.65
2015.06.11;SELL;AAPL;84;128.59
2013.09.18;BUY;AAPL;154;66.38
2016.11.28;BUY;AAPL;99;111.57
2015.08.26;BUY;AAPL;99;109.69
2015.03.11;SELL;AAPL;88;122.24
2014.12.03;BUY;AAPL;94;115.93
2013.04.04;BUY;AAPL;168;61.1
2015.07.20;SELL;AAPL;81;132.07
2014.02.19;BUY;AAPL;136;76.77
2015.12.24;BUY;AAPL;99;108.03
2015.09.14;SELL;AAPL;95;115.31
2013.09.04;BUY;AAPL;147;71.24
2013.08.12;BUY;AAPL;155;66.77
2013.04.09;BUY;AAPL;169;61.0
2013.03.20;BUY;AAPL;156;64.58
2014.07.22;BUY;AAPL;114;94.72
2015.12.22;BUY;AAPL;99;107.23
2015.12.09;BUY;AAPL;93;115.62
2014.12.22;BUY;AAPL;96;112.94
2014.12.08;BUY;AAPL;96;112.4
2014.04.30;SELL;AAPL;126;84.3
2015.07.10;SELL;AAPL;87;123.28
2016.11.09;SELL;AAPL;100;110.88
2014.06.26;BUY;AAPL;118;90.9
2016.02.24;BUY;AAPL;110;96.1
2014.10.14;BUY;AAPL;111;98.75
2013.03.14;BUY;AAPL;161;61.79
2016.12.13;BUY;AAPL;96;115.19
2015.11.16;SELL;AAPL;97;114.18
2016.08.09;BUY;AAPL;98;108.81
2015.08.21;BUY;AAPL;102;105.76
2016.07.01;BUY;AAPL;110;95.89
2015.09.02;SELL;AAPL;97;112.34
2015.04.29;BUY;AAPL;85;128.64
2013.09.10;BUY;AAPL;145;70.66
2014.09.17;BUY;AAPL;108;101.58
2015.08.27;BUY;AAPL;96;112.92
2016.02.02;SELL;AAPL;113;94.48
2013.07.30;SELL;AAPL;158;64.76
2016.07.28;BUY;AAPL;103;104.34
2015.05.27;BUY;AAPL;82;132.04
2016.01.28;SELL;AAPL;114;94.09
2014.06.09;BUY;AAPL;114;93.7
2014.03.20;BUY;AAPL;138;75.53
2014.05.05;SELL;AAPL;124;85.85
2014.12.31;BUY;AAPL;98;110.38
2014.02.21;BUY;AAPL;138;75.04
2014.04.17;BUY;AAPL;142;74.99
2016.04.27;BUY;AAPL;107;97.82
2016.03.24;BUY;AAPL;103;105.67
2013.11.27;BUY;AAPL;134;77.99
2015.12.02;SELL;AAPL;94;116.28
2016.08.16;BUY;AAPL;98;109.38
2015.10.15;BUY;AAPL;99;111.86
2013.11.12;BUY;AAPL;139;74.29
2015.06.03;BUY;AAPL;83;130.12
2014.06.27;BUY;AAPL;117;91.98
2013.07.25;BUY;AAPL;163;62.64
2014.07.08;BUY;AAPL;114;95.35
2014.12.16;BUY;AAPL;100;106.74
2015.10.28;BUY;AAPL;95;119.27
2014.05.28;BUY;AAPL;119;89.14
2016.08.19;BUY;AAPL;98;109.36
2016.04.21;BUY;AAPL;102;105.97
2014.07.09;BUY;AAPL;114;95.39
2014.07.21;SELL;AAPL;116;93.94
2016.07.08;BUY;AAPL;109;96.68
2016.07.27;BUY;AAPL;104;102.95
2013.12.02;BUY;AAPL;133;78.75
2014.08.26;SELL;AAPL;108;100.89
2013.11.20;BUY;AAPL;140;73.57
2015.08.04;BUY;AAPL;95;114.64
2015.07.09;SELL;AAPL;90;120.07
2013.05.02;BUY;AAPL;158;63.65
2014.10.20;SELL;AAPL;111;99.76
2013.05.31;BUY;AAPL;157;64.25
